date,pandas,python,ML,read_book,health,Meal,etc,active_time,sleep_time,total_time
21.03.01,0,3,0,1,0,2,13,19,5,24
21.03.02,0,13.5,0,1,1.5,2,0,18,6,24
21.03.03,0,13,0,1,1.5,2,0,17.5,6.5,24
21.03.04,0,13,0,1,1.5,2,0,17.5,6.5,24
21.03.05,0,13,0,1,1.5,2,0,17.5,6.5,24
21.03.06,0,13,0,1,1.5,2,0,17.5,6.5,24
21.03.07,0,6,0,1,1.5,2,9,19.5,4.5,24
21.03.08,0,13.5,0,1,1.5,2,0,18,6,24
21.03.09,0,13,0,1,1.5,2,0,17.5,6.5,24
21.03.10,0,7,0,1,1.5,2,0,11.5,12.5,24
21.03.11,0,8,0,1,1.5,2,0,12.5,11.5,24
21.03.12,0,13,0,1,1.5,2,0,17.5,6.5,24
21.03.13,0,12,0,1,1.5,2,0,16.5,7.5,24
21.03.14,0,4,0,1,1.5,2,9,17.5,6.5,24
